who-we-are	desktop	128:3460	S1 Hero — split screen
contact	desktop	128:3923	Section / Hero
how-it-works	desktop	128:3774	Section / Hero
fees	desktop	128:3393	Section/Hero
why-blue-star	desktop	128:3867	Section / Hero + comparison
who-we-are	desktop	128:3555	S2 Why a new firm — margin label
contact	desktop	128:3946	Section / Hero photo band
how-it-works	desktop	128:4402	Section / Five steps (zigzag spine)
fees	desktop	128:3492	Section/Fee statement
why-blue-star	desktop	128:5778	Section / Six Strong Reasons (bento)
who-we-are	desktop	128:3723	S3 What a new way means — index rows
contact	desktop	128:4291	Section / Call + contact ledger
how-it-works	desktop	128:4959	Section / Who Does What (You | We)
fees	desktop	128:4099	Section/Why a percentage
why-blue-star	desktop	128:6084	Section / Final CTA (split)
who-we-are	desktop	128:4513	S4 The firm, as a team — bento (signature)
contact	desktop	128:4658	Section / Review form (navy)
how-it-works	desktop	128:5046	Section / The contract, in plain terms (document excerpt)
fees	desktop	128:4254	Section/What protects you
who-we-are	desktop	128:4544	S5 No Conflict of Interest — statement (navy)
contact	desktop	128:5008	Section / Offices
how-it-works	desktop	128:5068	Section / Before you call (margin label)
fees	desktop	128:4461	Section/When not to hire us
who-we-are	desktop	128:4923	S6 Built From the Ground Up — founder split
contact	desktop	128:5872	Section / Timing note (document excerpt)
how-it-works	desktop	128:5964	Section / Final CTA (real photo)
fees	desktop	128:4479	Section/Specialists
who-we-are	desktop	128:4949	S7 A Boutique Practice — pull quote over photo
contact	desktop	128:5905	Section / Closing line
fees	desktop	128:4832	Section/Fee questions
who-we-are	desktop	128:5326	S8 Where we work — typographic city index
fees	desktop	128:4855	Section/Final CTA
who-we-are	desktop	128:5393	S9 Final CTA
who-we-are	mobile	128:6371	S1 Hero — split screen
contact	mobile	128:6488	Section / Hero
how-it-works	mobile	135:4658	Section / Hero
fees	mobile	128:6184	Section/Hero
why-blue-star	mobile	135:1579	Section / Hero + comparison
who-we-are	mobile	128:6413	S2 Why a new firm — margin label
contact	mobile	128:6506	Section / Hero photo band
how-it-works	mobile	135:5320	Section / Five steps (left spine)
fees	mobile	128:6219	Section/Fee statement
why-blue-star	mobile	135:5401	Section / Six Strong Reasons (mosaic)
who-we-are	mobile	128:6785	S3 What a new way means — index rows
contact	mobile	128:6623	Section / Call + contact ledger
how-it-works	mobile	142:1164	Section / Who Does What (You | We)
fees	mobile	128:6252	Section/Why a percentage
why-blue-star	mobile	141:888	Section / Final CTA (split)
who-we-are	mobile	128:6812	S4 The firm, as a team — bento (signature)
contact	mobile	128:6889	Section / Review form (navy)
how-it-works	mobile	142:1240	Section / The contract, in plain terms (document excerpt)
fees	mobile	128:6303	Section/What protects you
who-we-are	mobile	135:1237	S5 No Conflict of Interest — statement (navy)
contact	mobile	135:1531	Section / Offices
how-it-works	mobile	146:942	Section / Before you call (margin label)
fees	mobile	128:6333	Section/When not to hire us
who-we-are	mobile	135:1288	S6 Built From the Ground Up — founder split
contact	mobile	135:1701	Section / Timing note (document excerpt)
how-it-works	mobile	146:1034	Section / Final CTA (real photo)
fees	mobile	128:6564	Section/Specialists
who-we-are	mobile	135:1310	S7 A Boutique Practice — pull quote over photo
contact	mobile	135:1728	Section / Closing line
fees	mobile	128:6599	Section/Fee questions
who-we-are	mobile	135:1614	S8 Where we work — typographic city index
fees	mobile	128:6714	Section/Final CTA
who-we-are	mobile	135:4566	S9 Final CTA
